item	classification	result	requirement	detail	evidence
0001	REQUIRED	P	.COM load origin	Program began at 0100h	build/compatibility/run-20260908-000045/ENTRYTST_ALL/rows.txt
0002	REQUIRED	P	Transient entry point	Transient program entered at 0100h	build/compatibility/run-20260907-222250/CCPTEST_0002_CCPTEST.COM_0002_r_VER_r/rows.txt
0003	REQUIRED	P	TPA lower boundary	TPA lower boundary is 0100h	build/compatibility/run-20260908-000045/ENTRYTST_ALL/rows.txt
0004	REQUIRED	P	TPA upper-bound discovery	BDOS/TPA ceiling lies above program	build/compatibility/run-20260907-220132/CCPTEST_0004/rows.txt
0005	REQUIRED	P	Warm-start gateway at 0000h	JMP at 0000h is warm start	build/compatibility/run-20260908-000045/ENTRYTST_ALL/rows.txt
0006	REQUIRED	P	IOBYTE location	IOBYTE resides at 0003h	build/compatibility/run-20260908-000045/ENTRYTST_ALL/rows.txt
0007	REQUIRED	P	Command-entry default-drive byte	Entry default-drive byte is in range	build/compatibility/run-20260907-220132/CCPTEST_0007/rows.txt
0008	REQUIRED	P	BDOS gateway at 0005h	JMP at 0005h is BDOS gateway	build/compatibility/run-20260908-000045/ENTRYTST_ALL/rows.txt
0009	REQUIRED	P	Reserved restart/interrupt region roles	Page-zero gateway roles present	build/compatibility/run-20260908-000045/ENTRYTST_ALL/rows.txt
0010	REQUIRED	P	CBIOS scratch-area role	BIOS scratch ends before FCB at 005Ch	build/compatibility/run-20260907-220132/CCPTEST_0010/rows.txt
0011	REQUIRED	P	First default FCB location	First default FCB is at 005Ch	build/compatibility/run-20260908-000045/ENTRYTST_ALL/rows.txt
0012	PROFILE REQUIRED	-	Second default FCB at 006Ch	DRI-CCP: Run: ENTRYTST /0012 SECOND.BIN	captured/ENTRYTST_ALL/screens.txt
0013	REQUIRED	P	Default FCB drive-prefix parsing	FCB2 drive=2 and ALPHA.TXT matched	build/compatibility/run-20260907-222051/CCPTEST_0013_B:ALPHA.TXT/rows.txt
0014	REQUIRED	P	Default FCB wildcard expansion	Use /0014 A:AB*.C?M	build/compatibility/run-20260907-220132/ENTRYTST_0014_A:AB*.C?M/rows.txt
0015	REQUIRED	P	Default FCB case and padding	Use /0015 mixed.txt	build/compatibility/run-20260907-220132/ENTRYTST_0015_MIXED.TXT/rows.txt
0016	NOT GUARANTEED	UNRECORDED	Default FCB unopened control fields		
0017	REQUIRED	P	Command-tail count location	Tail count read from 0080h	build/compatibility/run-20260908-000045/ENTRYTST_ALL/rows.txt
0018	REQUIRED	P	Command-tail character location	Tail text begins at 0081h	build/compatibility/run-20260908-000045/ENTRYTST_ALL/rows.txt
0019	REQUIRED	P	Leading blank in command tail	Command tail begins with SPACE	build/compatibility/run-20260907-220132/CCPTEST_0019/rows.txt
0020	REQUIRED	P	Uppercase command-tail representation	Raw mixed-case input with backspace edit remained undispatched before host CR; resulting transient identity and uppercase tail verified.	build/compatibility/acquisition-20260907-235356/mixed/screens.txt
0021	NOT GUARANTEED	O	NUL after counted command tail	Tail-end=0D; not guaranteed	build/compatibility/run-20260908-000045/ENTRYTST_ALL/rows.txt
0022	OUTSIDE SCOPE	UNRECORDED	Bytes following command-tail terminator		
0023	REQUIRED	P	Default DMA address	Entry DMA was 0080h	build/compatibility/run-20260908-000045/ENTRYTST_ALL/rows.txt
0024	REQUIRED	P	Command-tail/default-DMA overlap	Tail and default DMA overlap	build/compatibility/run-20260907-211115/ENTRYTST_ALL/rows.txt
0025	REQUIRED	P	Program termination through JMP 0000h	Executed documented termination path; fresh CCP prompt captured after transfer.	build/compatibility/run-20260907-222051/CCPTEST_0025_Z/final.txt
0026	REQUIRED	P	Program termination through BDOS function 0	Executed documented termination path; fresh CCP prompt captured after transfer.	build/compatibility/run-20260907-222051/ENTRYTST_0026_Z/final.txt
0027	REQUIRED	P	RET termination	Executed documented termination path; fresh CCP prompt captured after transfer.	build/compatibility/run-20260907-222051/ENTRYTST_0027_Z/final.txt
0028	REQUIRED	P	Valid entry return word	Executed documented termination path; fresh CCP prompt captured after transfer.	build/compatibility/run-20260907-222051/CCPTEST_0028_Z/final.txt
0029	OUTSIDE SCOPE	-	Exact entry SP	Outside executable scope	captured/ENTRYTST_ALL/screens.txt
0030	OUTSIDE SCOPE	-	Exact entry return address	Outside executable scope	captured/ENTRYTST_ALL/screens.txt
0031	NOT GUARANTEED	UNRECORDED	General-register entry state		
0032	NOT GUARANTEED	O	Z80 extended-register entry state	Extended registers unspecified	build/compatibility/run-20260908-000045/ENTRYTST_ALL/rows.txt
0033	NOT GUARANTEED	O	Entry flags and interrupt state	Flags/interrupt unspecified	build/compatibility/run-20260908-000045/ENTRYTST_ALL/rows.txt
0034	OUTSIDE SCOPE	-	Exact BIOS/BDOS vector targets	Outside executable scope	followup/BDOSTEST_ALL_v3/screens.txt
0035	REQUIRED	P	BDOS function selector in C	C=12 selected version (22h)	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0036	REQUIRED	P	BDOS function-specific input in DE/E	E=0 selected drive A	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0037	REQUIRED	P	Byte result in A	Fn 25 returned byte in A	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0038	REQUIRED	P	Word result in HL	Fn 24 returned word in HL	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0039	REQUIRED	P	Normal-return alias A=L	Normal return alias A=L	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0040	REQUIRED	P	Normal-return alias B=H	Normal return alias B=H	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0041	REQUIRED	P	CP/M 2.2 BDOS selector range	Selector range ends at Fn 40	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0042	REQUIRED	P	Out-of-range BDOS result	Fn 41 returned zero	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0043	REQUIRED	P	Caller SP restored on returning BDOS calls	Caller stack restored	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0044	OUTSIDE SCOPE	-	DRI private BDOS stack mechanism	Outside executable scope	followup/BDOSTEST_ALL_v3/screens.txt
0045	NOT GUARANTEED	O	AF preservation across BDOS	AF=2288; not guaranteed	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
0046	NOT GUARANTEED	O	BC preservation across BDOS	BC=000C; not guaranteed	build/compatibility/run-20260908-000045/BDOSTEST_ALL/rows.txt
